DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EE,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2021,14393147295,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EE,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2022,18987782057,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EE,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2020,9448516774,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EE,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2021,12213207799,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EE,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2022,14790963863,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EE,WORLD,TOTAL,1,VALUE_IN_EUROS,2020,15139752967,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EE,WORLD,TOTAL,1,VALUE_IN_EUROS,2021,19978479084,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EE,WORLD,TOTAL,1,VALUE_IN_EUROS,2022,24527121190,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EE,WORLD,TOTAL,2,VALUE_IN_EUROS,2020,14273492179,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EE,WORLD,TOTAL,2,VALUE_IN_EUROS,2021,18218754765,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,EE,WORLD,TOTAL,2,VALUE_IN_EUROS,2022,21262379709,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2020,123402773530,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2021,161318432328,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,EU27_2020_EXTRA,TOTAL,1,VALUE_IN_EUROS,2022,232771281322,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2020,104380805113,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2021,121869339529,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,EU27_2020_EXTRA,TOTAL,2,VALUE_IN_EUROS,2022,145315292716,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2020,161812587806,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2021,194123529725,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,EU27_2020_INTRA,TOTAL,1,VALUE_IN_EUROS,2022,236239482019,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2020,165140152225,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2021,199565574042,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,EU27_2020_INTRA,TOTAL,2,VALUE_IN_EUROS,2022,252336996636,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,WORLD,TOTAL,1,VALUE_IN_EUROS,2020,285215361336,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,WORLD,TOTAL,1,VALUE_IN_EUROS,2021,355441962053,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,WORLD,TOTAL,1,VALUE_IN_EUROS,2022,469010763341,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,WORLD,TOTAL,2,VALUE_IN_EUROS,2020,269520957338,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,WORLD,TOTAL,2,VALUE_IN_EUROS,2021,321434913571,
ESTAT:DS-045409$DEFAULTVIEW(1.0),20/02/23 13:23:00,A,ES,WORLD,TOTAL,2,VALUE_IN_EUROS,2022,397652289352,
